date,route_id,segment_id,segment_type,distance_km,day_of_week,is_weekend,is_holiday,hour_of_day,time_of_day_bin,weather_severity,current_speed,previous_segment_speed,travel_time_seconds
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,8.03,08:00-08:15,0,25.97,25.9,526.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,8.18,08:00-08:15,0,8.14,25.97,442.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,8.3,08:15-08:30,0,17.38,8.14,414.4
2026-03-01,R1,R1_S1,market,1.2,6,1,0,10.98,10:45-11:00,0,17.87,17.87,241.8
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.04,11:00-11:15,0,23.68,17.87,380.0
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,11.15,11:00-11:15,0,38.55,23.68,354.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,11.25,11:00-11:15,0,16.54,38.55,217.6
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,11.31,11:15-11:30,0,23.43,16.54,307.3
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.41,17:15-17:30,0,15.99,15.99,270.2
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.49,17:15-17:30,0,25.95,15.99,346.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,17.58,17:30-17:45,0,27.15,25.95,503.9
2026-03-01,R1,R1_S4,market,1.0,6,1,0,17.72,17:30-17:45,0,8.8,27.15,409.0
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,17.84,17:45-18:00,0,20.53,8.8,350.8
2026-03-01,R1,R1_S1,market,1.2,6,1,0,14.36,14:15-14:30,0,15.5,15.5,278.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,14.44,14:15-14:30,0,25.19,15.5,357.3
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,14.54,14:30-14:45,0,33.82,25.19,404.5
2026-03-01,R1,R1_S4,market,1.0,6,1,0,14.65,14:30-14:45,0,17.66,33.82,203.8
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,14.71,14:30-14:45,0,26.93,17.66,267.4
2026-03-01,R1,R1_S1,market,1.2,6,1,0,9.99,09:45-10:00,0,8.88,8.88,486.3
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,10.12,10:00-10:15,0,20.37,8.88,441.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,10.25,10:00-10:15,0,22.83,20.37,599.2
2026-03-01,R1,R1_S4,market,1.0,6,1,0,10.41,10:15-10:30,0,7.64,22.83,471.1
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,10.54,10:30-10:45,0,24.4,7.64,295.1
2026-03-01,R1,R1_S1,market,1.2,6,1,0,20.88,20:45-21:00,0,16.85,16.85,256.3
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,20.95,20:45-21:00,0,27.38,16.85,328.7
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,21.04,21:00-21:15,0,37.34,27.38,366.4
2026-03-01,R1,R1_S4,market,1.0,6,1,0,21.14,21:00-21:15,0,16.57,37.34,217.2
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,21.2,21:00-21:15,0,27.77,16.57,259.3
2026-03-01,R1,R1_S1,market,1.2,6,1,0,20.34,20:15-20:30,0,9.12,9.12,473.8
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,20.47,20:15-20:30,0,16.45,9.12,547.2
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,20.62,20:30-20:45,0,36.11,16.45,378.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,20.73,20:30-20:45,0,15.51,36.11,232.1
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,20.79,20:45-21:00,0,22.67,15.51,317.7
2026-03-01,R1,R1_S1,market,1.2,6,1,0,19.09,19:00-19:15,0,4.87,4.87,886.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,19.33,19:15-19:30,0,18.33,4.87,490.9
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,19.47,19:15-19:30,0,23.09,18.33,592.5
2026-03-01,R1,R1_S4,market,1.0,6,1,0,19.64,19:30-19:45,0,8.42,23.09,427.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,19.75,19:45-20:00,0,18.53,8.42,388.7
2026-03-01,R1,R1_S1,market,1.2,6,1,0,11.17,11:00-11:15,0,15.85,15.85,272.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.25,11:00-11:15,0,28.7,15.85,313.6
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,11.33,11:15-11:30,0,37.17,28.7,368.1
2026-03-01,R1,R1_S4,market,1.0,6,1,0,11.44,11:15-11:30,0,16.49,37.17,218.4
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,11.5,11:15-11:30,0,25.17,16.49,286.1
2026-03-01,R1,R1_S1,market,1.2,6,1,0,21.4,21:15-21:30,0,16.07,16.07,268.8
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,21.47,21:15-21:30,0,22.29,16.07,403.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,21.59,21:30-21:45,0,34.55,22.29,396.0
2026-03-01,R1,R1_S4,market,1.0,6,1,0,21.7,21:30-21:45,0,14.61,34.55,246.4
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,21.76,21:45-22:00,0,25.48,14.61,282.5
2026-03-01,R1,R1_S1,market,1.2,6,1,0,14.04,14:00-14:15,0,15.45,15.45,279.6
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,14.12,14:00-14:15,0,24.95,15.45,360.7
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,14.22,14:00-14:15,0,37.43,24.95,365.5
2026-03-01,R1,R1_S4,market,1.0,6,1,0,14.32,14:15-14:30,0,16.05,37.43,224.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,14.38,14:15-14:30,0,23.2,16.05,310.4
2026-03-01,R1,R1_S1,market,1.2,6,1,0,21.77,21:45-22:00,0,17.25,17.25,250.4
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,21.84,21:45-22:00,0,23.23,17.25,387.4
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,21.95,21:45-22:00,0,35.17,23.23,388.9
2026-03-01,R1,R1_S4,market,1.0,6,1,0,22.06,22:00-22:15,0,17.26,35.17,208.6
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,22.11,22:00-22:15,0,23.86,17.26,301.8
2026-03-01,R1,R1_S1,market,1.2,6,1,0,16.12,16:00-16:15,0,18.18,18.18,237.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,16.18,16:00-16:15,0,26.36,18.18,341.5
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,16.28,16:15-16:30,0,41.4,26.36,330.4
2026-03-01,R1,R1_S4,market,1.0,6,1,0,16.37,16:15-16:30,0,14.61,41.4,246.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,16.44,16:15-16:30,0,24.28,14.61,296.5
2026-03-01,R1,R1_S1,market,1.2,6,1,0,6.65,06:30-06:45,0,18.66,18.66,231.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,6.72,06:30-06:45,0,26.87,18.66,334.9
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,6.81,06:45-07:00,0,36.82,26.87,371.5
2026-03-01,R1,R1_S4,market,1.0,6,1,0,6.91,06:45-07:00,0,15.55,36.82,231.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,6.98,06:45-07:00,0,26.47,15.55,272.0
2026-03-01,R1,R1_S1,market,1.2,6,1,0,8.79,08:45-09:00,0,7.02,7.02,615.3
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,8.96,08:45-09:00,0,16.06,7.02,560.6
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,9.12,09:00-09:15,0,27.17,16.06,503.4
2026-03-01,R1,R1_S4,market,1.0,6,1,0,9.26,09:15-09:30,0,7.68,27.17,468.7
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,9.39,09:15-09:30,0,17.13,7.68,420.3
2026-03-01,R1,R1_S1,market,1.2,6,1,0,20.8,20:45-21:00,0,15.56,15.56,277.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,20.87,20:45-21:00,0,26.3,15.56,342.2
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,20.97,20:45-21:00,0,38.99,26.3,350.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,21.06,21:00-21:15,0,16.89,38.99,213.1
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,21.12,21:00-21:15,0,27.75,16.89,259.4
2026-03-01,R1,R1_S1,market,1.2,6,1,0,9.87,09:45-10:00,0,12.66,12.66,341.1
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,9.96,09:45-10:00,0,18.18,12.66,495.1
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,10.1,10:00-10:15,0,25.56,18.18,535.2
2026-03-01,R1,R1_S4,market,1.0,6,1,0,10.25,10:15-10:30,0,7.0,25.56,514.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,10.39,10:15-10:30,0,15.33,7.0,469.6
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.62,17:30-17:45,0,9.78,9.78,441.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.74,17:30-17:45,0,19.9,9.78,452.2
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,17.86,17:45-18:00,0,24.4,19.9,560.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,18.02,18:00-18:15,0,10.13,24.4,355.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,18.12,18:00-18:15,0,18.02,10.13,399.5
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.07,17:00-17:15,0,14.27,14.27,302.6
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.15,17:00-17:15,0,23.16,14.27,388.7
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,17.26,17:15-17:30,0,38.18,23.16,358.3
2026-03-01,R1,R1_S4,market,1.0,6,1,0,17.36,17:15-17:30,0,14.64,38.18,245.9
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,17.43,17:15-17:30,0,26.72,14.64,269.5
2026-03-01,R1,R1_S1,market,1.2,6,1,0,11.21,11:00-11:15,0,17.25,17.25,250.4
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.28,11:15-11:30,0,27.58,17.25,326.3
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,11.37,11:15-11:30,0,37.69,27.58,362.9
2026-03-01,R1,R1_S4,market,1.0,6,1,0,11.47,11:15-11:30,0,17.51,37.69,205.6
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,11.52,11:30-11:45,0,23.74,17.51,303.3
2026-03-01,R1,R1_S1,market,1.2,6,1,0,11.88,11:45-12:00,0,16.32,16.32,264.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.96,11:45-12:00,0,23.7,16.32,379.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,12.06,12:00-12:15,0,35.09,23.7,389.9
2026-03-01,R1,R1_S4,market,1.0,6,1,0,12.17,12:00-12:15,0,15.98,35.09,225.2
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,12.23,12:00-12:15,0,25.91,15.98,277.8
2026-03-01,R1,R1_S1,market,1.2,6,1,0,20.27,20:15-20:30,0,10.67,10.67,404.9
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,20.39,20:15-20:30,0,18.68,10.67,481.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,20.52,20:30-20:45,0,42.54,18.68,321.6
2026-03-01,R1,R1_S4,market,1.0,6,1,0,20.61,20:30-20:45,0,16.24,42.54,221.7
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,20.67,20:30-20:45,0,22.77,16.24,316.2
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.56,17:30-17:45,0,8.8,8.8,490.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.7,17:30-17:45,0,15.78,8.8,570.3
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,17.85,17:45-18:00,0,24.93,15.78,548.7
2026-03-01,R1,R1_S4,market,1.0,6,1,0,18.01,18:00-18:15,0,8.52,24.93,422.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,18.12,18:00-18:15,0,19.0,8.52,379.0
2026-03-01,R1,R1_S1,market,1.2,6,1,0,6.25,06:00-06:15,0,15.91,15.91,271.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,6.32,06:15-06:30,0,26.63,15.91,337.9
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,6.42,06:15-06:30,0,35.85,26.63,381.6
2026-03-01,R1,R1_S4,market,1.0,6,1,0,6.52,06:30-06:45,0,17.27,35.85,208.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,6.58,06:30-06:45,0,27.18,17.27,264.9
2026-03-01,R1,R1_S1,market,1.2,6,1,0,11.07,11:00-11:15,0,15.59,15.59,277.2
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.15,11:00-11:15,0,25.69,15.59,350.4
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,11.25,11:00-11:15,0,34.18,25.69,400.2
2026-03-01,R1,R1_S4,market,1.0,6,1,0,11.36,11:15-11:30,0,16.36,34.18,220.1
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,11.42,11:15-11:30,0,25.99,16.36,277.0
2026-03-01,R1,R1_S1,market,1.2,6,1,0,15.12,15:00-15:15,0,16.45,16.45,262.7
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,15.19,15:00-15:15,0,23.84,16.45,377.5
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,15.3,15:15-15:30,0,39.02,23.84,350.6
2026-03-01,R1,R1_S4,market,1.0,6,1,0,15.4,15:15-15:30,0,16.18,39.02,222.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,15.46,15:15-15:30,0,26.87,16.18,268.0
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.24,17:00-17:15,0,17.7,17.7,244.1
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.31,17:15-17:30,0,22.82,17.7,394.4
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,17.42,17:15-17:30,0,34.83,22.82,392.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,17.53,17:30-17:45,0,9.63,34.83,373.9
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,17.63,17:30-17:45,0,18.63,9.63,386.4
2026-03-01,R1,R1_S1,market,1.2,6,1,0,19.87,19:45-20:00,0,8.89,8.89,485.9
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,20.01,20:00-20:15,0,19.28,8.89,466.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,20.14,20:00-20:15,0,26.94,19.28,507.8
2026-03-01,R1,R1_S4,market,1.0,6,1,0,20.28,20:15-20:30,0,8.87,26.94,406.0
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,20.39,20:15-20:30,0,20.11,8.87,358.1
2026-03-01,R1,R1_S1,market,1.2,6,1,0,18.73,18:30-18:45,0,10.34,10.34,417.9
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,18.85,18:45-19:00,0,17.14,10.34,525.0
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,18.99,18:45-19:00,0,25.51,17.14,536.2
2026-03-01,R1,R1_S4,market,1.0,6,1,0,19.14,19:00-19:15,0,7.7,25.51,467.8
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,19.27,19:15-19:30,0,17.28,7.7,416.6
2026-03-01,R1,R1_S1,market,1.2,6,1,0,15.25,15:15-15:30,0,16.04,16.04,269.3
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,15.33,15:15-15:30,0,24.34,16.04,369.8
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,15.43,15:15-15:30,0,33.04,24.34,414.0
2026-03-01,R1,R1_S4,market,1.0,6,1,0,15.55,15:30-15:45,0,16.64,33.04,216.4
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,15.61,15:30-15:45,0,24.55,16.64,293.2
2026-03-01,R1,R1_S1,market,1.2,6,1,0,6.6,06:30-06:45,0,16.22,16.22,266.3
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,6.67,06:30-06:45,0,24.45,16.22,368.1
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,6.77,06:45-07:00,0,39.09,24.45,350.0
2026-03-01,R1,R1_S4,market,1.0,6,1,0,6.87,06:45-07:00,0,16.2,39.09,222.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,6.93,06:45-07:00,0,23.36,16.2,308.2
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,18.32,18:15-18:30,0,18.7,18.7,385.0
2026-03-01,R2,R2_S2,market,1.5,6,1,0,18.43,18:15-18:30,0,6.95,18.7,777.1
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,18.64,18:30-18:45,0,28.94,6.95,522.5
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,16.2,16:00-16:15,0,28.62,28.62,251.6
2026-03-01,R2,R2_S2,market,1.5,6,1,0,16.27,16:15-16:30,0,13.06,28.62,413.4
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,16.38,16:15-16:30,0,37.19,13.06,406.5
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,18.72,18:30-18:45,0,16.91,16.91,425.8
2026-03-01,R2,R2_S2,market,1.5,6,1,0,18.84,18:45-19:00,0,6.35,16.91,850.2
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,19.08,19:00-19:15,0,22.3,6.35,678.1
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,8.77,08:45-09:00,0,20.7,20.7,347.8
2026-03-01,R2,R2_S2,market,1.5,6,1,0,8.87,08:45-09:00,0,8.14,20.7,663.2
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,9.05,09:00-09:15,0,22.55,8.14,670.6
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,14.79,14:45-15:00,0,27.0,27.0,266.7
2026-03-01,R2,R2_S2,market,1.5,6,1,0,14.86,14:45-15:00,0,18.0,27.0,300.0
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,14.95,14:45-15:00,0,37.59,18.0,402.2
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,15.79,15:45-16:00,0,28.27,28.27,254.7
2026-03-01,R2,R2_S2,market,1.5,6,1,0,15.86,15:45-16:00,0,13.82,28.27,390.7
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,15.97,15:45-16:00,0,35.78,13.82,422.5
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,11.7,11:30-11:45,0,24.87,24.87,289.5
2026-03-01,R2,R2_S2,market,1.5,6,1,0,11.78,11:45-12:00,0,18.91,24.87,285.6
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,11.86,11:45-12:00,0,36.76,18.91,411.3
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,13.58,13:30-13:45,0,23.62,23.62,304.8
2026-03-01,R2,R2_S2,market,1.5,6,1,0,13.66,13:30-13:45,0,15.72,23.62,343.5
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,13.76,13:45-14:00,0,34.18,15.72,442.4
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,12.38,12:15-12:30,0,28.08,28.08,256.4
2026-03-01,R2,R2_S2,market,1.5,6,1,0,12.45,12:15-12:30,0,18.08,28.08,298.6
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,12.53,12:30-12:45,0,36.53,18.08,413.9
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,16.01,16:00-16:15,0,24.46,24.46,294.3
2026-03-01,R2,R2_S2,market,1.5,6,1,0,16.1,16:00-16:15,0,17.84,24.46,302.6
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,16.18,16:00-16:15,0,36.82,17.84,410.6
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,16.54,16:30-16:45,0,24.94,24.94,288.7
2026-03-01,R2,R2_S2,market,1.5,6,1,0,16.62,16:30-16:45,0,16.19,24.94,333.5
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,16.71,16:30-16:45,0,38.16,16.19,396.2
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,15.21,15:00-15:15,0,25.53,25.53,282.1
2026-03-01,R2,R2_S2,market,1.5,6,1,0,15.29,15:15-15:30,0,18.48,25.53,292.2
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,15.37,15:15-15:30,0,34.2,18.48,442.1
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,13.33,13:15-13:30,0,26.54,26.54,271.3
2026-03-01,R2,R2_S2,market,1.5,6,1,0,13.41,13:15-13:30,0,16.21,26.54,333.2
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,13.5,13:15-13:30,0,37.72,16.21,400.8
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,20.49,20:15-20:30,0,17.51,17.51,411.1
2026-03-01,R2,R2_S2,market,1.5,6,1,0,20.6,20:30-20:45,0,16.52,17.51,326.8
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,20.69,20:30-20:45,0,35.49,16.52,426.0
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,7.14,07:00-07:15,0,26.89,26.89,267.7
2026-03-01,R2,R2_S2,market,1.5,6,1,0,7.21,07:00-07:15,0,15.4,26.89,350.6
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,7.31,07:15-07:30,0,35.49,15.4,426.0
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,17.15,17:00-17:15,0,24.66,24.66,292.0
2026-03-01,R2,R2_S2,market,1.5,6,1,0,17.23,17:00-17:15,0,17.45,24.66,309.5
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,17.31,17:15-17:30,0,37.45,17.45,403.8
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,17.76,17:45-18:00,0,16.58,16.58,434.3
2026-03-01,R2,R2_S2,market,1.5,6,1,0,17.88,17:45-18:00,0,10.17,16.58,531.0
2026-03-01,R2,R2_S3,highway,4.2,6,1,0,18.03,18:00-18:15,0,25.08,10.17,602.9
2026-03-01,R2,R2_S1,residential,2.0,6,1,0,18.91,18:45-19:00,0,16.43,16.43,438.2
2026-03-01,R2,R2_S2,market,1.5,6,1,0,19.03,19:00-19:15,0,8.82,16.43,612.0
